executive_order_number,title,publication_date,signing_date,citation,document_number,executive_order_notes,html_url
13559,Fundamental Principles and Policymaking Criteria for Partnerships With Faith-Based and Other Neighborhood Organizations,11/22/2010,11/17/2010,75 FR 71317, 2010-29579,"Amends: EO 13279, December 12, 2002;
; ;  See: EO 13198, January 29, 2001; EO 13199, January 29, 2001; EO 13498, February 5, 2009",https://www.federalregister.gov/articles/2010/11/22/2010-29579/fundamental-principles-and-policymaking-criteria-for-partnerships-with-faith-based-and-other
13560,White House Council for Community Solutions,12/17/2010,12/14/2010,75 FR 78875, 2010-31878,"",https://www.federalregister.gov/articles/2010/12/17/2010-31878/white-house-council-for-community-solutions
13562,Recruiting and Hiring Students and Recent Graduates,12/30/2010,12/27/2010,75 FR 82583, 2010-33169,"Supersedes: EO 12015, October 26, 1977;
; ;  Revokes: EO 13318, November 21, 2003; EO 13162, July 6, 2000",https://www.federalregister.gov/articles/2010/12/30/2010-33169/recruiting-and-hiring-students-and-recent-graduates
13563,Improving Regulation and Regulatory Review,01/21/2011,01/18/2011,76 FR 3821, 2011-1385,"See: EO 12866, September 30, 1993; EO 13579, July 11, 2011",https://www.federalregister.gov/articles/2011/01/21/2011-1385/improving-regulation-and-regulatory-review
13564,Establishment of the President's Council on Jobs and Competitiveness,02/03/2011,01/31/2011,76 FR 6309, 2011-2577,"Revokes: EO 13501, February 6, 2009",https://www.federalregister.gov/articles/2011/02/03/2011-2577/establishment-of-the-presidents-council-on-jobs-and-competitiveness
13565,Establishment of the Intellectual Property Enforcement Advisory Committees,02/11/2011,02/08/2011,76 FR 7681, 2011-3257,"",https://www.federalregister.gov/articles/2011/02/11/2011-3257/establishment-of-the-intellectual-property-enforcement-advisory-committees
13566,Blocking Property and Prohibiting Certain Transactions Related to Libya,03/02/2011,02/25/2011,76 FR 11315, 2011-4753,"",https://www.federalregister.gov/articles/2011/03/02/2011-4753/blocking-property-and-prohibiting-certain-transactions-related-to-libya
13567,Periodic Review of Individuals Detained at Guantánamo Bay Naval Station Pursuant to the Authorization for Use of Military Force,03/10/2011,03/07/2011,76 FR 13275, 2011-5728,"See: EO 13491, January 22, 2009; EO 13492, January 22, 2009",https://www.federalregister.gov/articles/2011/03/10/2011-5728/periodic-review-of-individuals-detained-at-guantnamo-bay-naval-station-pursuant-to-the-authorization
13568,Extending Provisions of the International Organizations Immunities Act to the Office of the High Representative in Bosnia and Herzegovina and the International Civilian Office in Kosovo,03/11/2011,03/08/2011,76 FR 13495, 2011-5903,"",https://www.federalregister.gov/articles/2011/03/11/2011-5903/extending-provisions-of-the-international-organizations-immunities-act-to-the-office-of-the-high
13569,"Amendments to Executive Orders 12824, 12835, 12859, and 13532, Reestablishment Pursuant to Executive Order 13498, and Revocation of Executive Order 13507",04/08/2011,04/05/2011,76 FR 19889, 2011-8642,"Amends: EO 12824, December 7, 1992; EO 12835, January 25, 1993; EO 12859, August 16, 1993; EO 13532, February 26, 2010;
; ;  Revokes: EO 13507, April 8, 2009;
; ;  See: EO 13498, February 5, 2009",https://www.federalregister.gov/articles/2011/04/08/2011-8642/amendments-to-executive-orders-12824-12835-12859-and-13532-reestablishment-pursuant-to-executive
13570,Prohibiting Certain Transactions With Respect to North Korea,04/20/2011,04/18/2011,76 FR 22289, 2011-9739,"See: EO 13466, June 26, 2008; EO 13551, August 30, 2010",https://www.federalregister.gov/articles/2011/04/20/2011-9739/prohibiting-certain-transactions-with-respect-to-north-korea
13571,Streamlining Service Delivery and Improving Customer Service,05/02/2011,04/27/2011,76 FR 24339, 2011-10732,"See: EO 12862, September 11, 1993; Memoranda of March 22, 1995, and March 3, 1998",https://www.federalregister.gov/articles/2011/05/02/2011-10732/streamlining-service-delivery-and-improving-customer-service
13572,Blocking Property of Certain Persons With Respect to Human Rights Abuses in Syria,05/03/2011,04/29/2011,76 FR 24787, 2011-10910,"See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13573, May 18, 2011; EO 13582, August 17, 2011",https://www.federalregister.gov/articles/2011/05/03/2011-10910/blocking-property-of-certain-persons-with-respect-to-human-rights-abuses-in-syria
13573,Blocking Property of Senior Officials of the Government of Syria,05/20/2011,05/18/2011,76 FR 29143, 2011-12645,"See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13572, April 29, 2011; EO 13582, August 17, 2011",https://www.federalregister.gov/articles/2011/05/20/2011-12645/blocking-property-of-senior-officials-of-the-government-of-syria
13574,"Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Sanctions Act of 1996, as Amended",05/25/2011,05/23/2011,76 FR 30505, 2011-13173,"See: EO 12957, March 15, 1995",https://www.federalregister.gov/articles/2011/05/25/2011-13173/authorizing-the-implementation-of-certain-sanctions-set-forth-in-the-iran-sanctions-act-of-1996-as
13575,Establishment of the White House Rural Council,06/14/2011,06/09/2011,76 FR 34839, 2011-14919,"",https://www.federalregister.gov/articles/2011/06/14/2011-14919/establishment-of-the-white-house-rural-council
13576,"Delivering an Efficient, Effective, and Accountable Government",06/16/2011,06/13/2011,76 FR 35295, 2011-15181,"",https://www.federalregister.gov/articles/2011/06/16/2011-15181/delivering-an-efficient-effective-and-accountable-government
13577,Establishment of the SelectUSA Initiative,06/20/2011,06/15/2011,76 FR 35715, 2011-15443,"",https://www.federalregister.gov/articles/2011/06/20/2011-15443/establishment-of-the-selectusa-initiative
13578,Coordinating Policies on Automotive Communities and Workers,07/11/2011,07/06/2011,76 FR 40591, 2011-17447,"Revokes: EO 13509, June 23, 2009",https://www.federalregister.gov/articles/2011/07/11/2011-17447/coordinating-policies-on-automotive-communities-and-workers
13579,Regulation and Independent Regulatory Agencies,07/14/2011,07/11/2011,76 FR 41585, 2011-17953,"See: EO 12866, September 30, 1993; EO 13563, January 18, 2011",https://www.federalregister.gov/articles/2011/07/14/2011-17953/regulation-and-independent-regulatory-agencies
13580,Interagency Working Group on Coordination of Domestic Energy Development and Permitting in Alaska,07/15/2011,07/12/2011,76 FR 41987, 2011-18065,"See: EO 13547, June 19, 2010",https://www.federalregister.gov/articles/2011/07/15/2011-18065/interagency-working-group-on-coordination-of-domestic-energy-development-and-permitting-in-alaska
13581,Blocking Property of Transnational Criminal Organizations,07/27/2011,07/24/2011,76 FR 44757, 2011-19156,"",https://www.federalregister.gov/articles/2011/07/27/2011-19156/blocking-property-of-transnational-criminal-organizations
13582,Blocking Property of the Government of Syria and Prohibiting Certain Transactions With Respect to Syria,08/22/2011,08/17/2011,76 FR 52209, 2011-21505,"See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13572, April 29, 2011; and EO 13573, May 18, 2011",https://www.federalregister.gov/articles/2011/08/22/2011-21505/blocking-property-of-the-government-of-syria-and-prohibiting-certain-transactions-with-respect-to
13583,Establishing a Coordinated Government-Wide Initiative to Promote Diversity and Inclusion in the Federal Workforce,08/23/2011,08/18/2011,76 FR 52845, 2011-21704,"See: EO 13078, March 13, 1998; EO 13163, July 26, 2000; EO 13171, October 12, 2000; EO 13518, November 9, 2009; and EO 13548, July 26, 2010",https://www.federalregister.gov/articles/2011/08/23/2011-21704/establishing-a-coordinated-government-wide-initiative-to-promote-diversity-and-inclusion-in-the
13584,Developing an Integrated Strategic Counterterrorism Communications Initiative and Establishing a Temporary Organization to Support Certain Government-wide Communications Activities Directed Abroad,09/15/2011,09/09/2011,76 FR 56945, 2011-23891,"",https://www.federalregister.gov/articles/2011/09/15/2011-23891/developing-an-integrated-strategic-counterterrorism-communications-initiative-and-establishing-a
13585,Continuance of Certain Federal Advisory Committees,10/07/2011,09/30/2011,76 FR 62281, 2011-26141,"See: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 11612, July 26, 1971; EO 12131, May 4, 1979; EO 12216, June 18, 1980; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12829, January 6, 1993; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13231, October 16, 2001; EO 13265, June 6, 2002; EO 13270, July 3, 2002; EO 13515, October 14, 2009; EO 13592, December 2, 2011 
; Supersedes: EO 13511, September 29, 2009
; Superseded in part by: EO 13652, September 30, 2013
; Amends: EO 13515, October 14, 2009",https://www.federalregister.gov/articles/2011/10/07/2011-26141/continuance-of-certain-federal-advisory-committees
13586,Establishing an Emergency Board to Investigate Disputes Between Certain Railroads Represented by the National Carriers' Conference Committee of the National Railway Labor Conference and Their Employees Represented by Certain Labor Organizations,10/12/2011,10/06/2011,76 FR 63533, 2011-26574,"",https://www.federalregister.gov/articles/2011/10/12/2011-26574/establishing-an-emergency-board-to-investigate-disputes-between-certain-railroads-represented-by-the
13587,Structural Reforms To Improve the Security of Classified Networks and the Responsible Sharing and Safeguarding of Classified Information,10/13/2011,10/07/2011,76 FR 63811, 2011-26729,"",https://www.federalregister.gov/articles/2011/10/13/2011-26729/structural-reforms-to-improve-the-security-of-classified-networks-and-the-responsible-sharing-and
13588,Reducing Prescription Drug Shortages,11/03/2011,10/31/2011,76 FR 68295, 2011-28728,"",https://www.federalregister.gov/articles/2011/11/03/2011-28728/reducing-prescription-drug-shortages
13589,Promoting Efficient Spending,11/15/2011,11/09/2011,76 FR 70861, 2011-29683,"See: EO 13576, June 13, 2011; Memorandum of May 24, 2011",https://www.federalregister.gov/articles/2011/11/15/2011-29683/promoting-efficient-spending
13590,"Authorizing the Imposition of Certain Sanctions With Respect to the Provision of Goods, Services, Technology, or Support for Iran's Energy and Petrochemical Sectors",11/23/2011,11/20/2011,76 FR 72609, 2011-30463,"See: EO 12957, March 15, 1995",https://www.federalregister.gov/articles/2011/11/23/2011-30463/authorizing-the-imposition-of-certain-sanctions-with-respect-to-the-provision-of-goods-services
13591,Continuance of Certain Federal Advisory Committees,11/30/2011,11/23/2011,76 FR 74621, 2011-30990,"See: EO 13521, November 24, 2009; EO 13522, December 9, 2009; EO 13532, February 26, 2010; EO 13538, April 22, 2010; EO 13539, April 21, 2011; EO 13540, April 26, 2010; EO 13549, August 18, 2010; EO 13544, June 10, 2010; EO 13631, December 7, 2012",https://www.federalregister.gov/articles/2011/11/30/2011-30990/continuance-of-certain-federal-advisory-committees
13592,Improving American Indian and Alaska Native Educational Opportunities and Strengthening Tribal Colleges and Universities,12/08/2011,12/02/2011,76 FR 76603, 2011-31624,"Revokes: EO 13270, July 3, 2002; EO 13336, April 30, 2004; EO 13585, September 30, 2011",https://www.federalregister.gov/articles/2011/12/08/2011-31624/improving-american-indian-and-alaska-native-educational-opportunities-and-strengthening-tribal
13593,"2011 Amendments to the Manual for Courts-Martial, United States",12/16/2011,12/13/2011,76 FR 78449, 2011-32486,"",https://www.federalregister.gov/articles/2011/12/16/2011-32486/2011-amendments-to-the-manual-for-courts-martial-united-states
13594,Adjustments of Certain Rates of Pay,12/23/2011,12/19/2011,76 FR 80191, 2011-33087,"Supersedes: EO 13561, December 22, 2010",https://www.federalregister.gov/articles/2011/12/23/2011-33087/adjustments-of-certain-rates-of-pay
13595,"Instituting a National Action Plan On Women, Peace, And Security",12/23/2011,12/19/2011,76 FR 80205, 2011-33089,"",https://www.federalregister.gov/articles/2011/12/23/2011-33089/instituting-a-national-action-plan-on-women-peace-and-security
13596,Amendments to Executive Orders 12131 and 13539,12/27/2011,12/19/2011,76 FR 80725, 2011-33335,"Amends: EO 12131, May 4, 1979; EO 13539, April 21, 2010",https://www.federalregister.gov/articles/2011/12/27/2011-33335/amendments-to-executive-orders-12131-and-13539
13597,Establishing Visa and Foreign Visitor Processing Goals and the Task Force On Travel and Competitiveness,01/24/2012,01/19/2012,77 FR 3373, 2012-1568,"",https://www.federalregister.gov/articles/2012/01/24/2012-1568/establishing-visa-and-foreign-visitor-processing-goals-and-the-task-force-on-travel-and
13598,Assignment of Functions Relating to Certain Promotion and Appointment Actions in the Armed Forces,02/02/2012,01/27/2012,77 FR 5369, 2012-2557,"",https://www.federalregister.gov/articles/2012/02/02/2012-2557/assignment-of-functions-relating-to-certain-promotion-and-appointment-actions-in-the-armed-forces
13599,Blocking Property of the Government of Iran and Iranian Financial Institutions,02/08/2012,02/05/2012,77 FR 6657, 2012-3097,"See: EO 12957, March 15, 1995; EO 12170, November 14, 1979; EO 12281, January 19, 1981; EO 13628, October 9, 2012",https://www.federalregister.gov/articles/2012/02/08/2012-3097/blocking-property-of-the-government-of-iran-and-iranian-financial-institutions
13600,Establishing the President's Global Development Council,02/14/2012,02/09/2012,77 FR 8711, 2012-3616,"Amended by: EO 13652, September 30, 2013
; Continued by: EO 13652, September 30, 2013",https://www.federalregister.gov/articles/2012/02/14/2012-3616/establishing-the-presidents-global-development-council
13601,Establishment of the Interagency Trade Enforcement Center,03/05/2012,02/28/2012,77 FR 12981, 2012-5366,"",https://www.federalregister.gov/articles/2012/03/05/2012-5366/establishment-of-the-interagency-trade-enforcement-center
13602,"Establishing a White House Council on Strong Cities, Strong Communities",03/20/2012,03/15/2012,77 FR 16131, 2012-6797,"",https://www.federalregister.gov/articles/2012/03/20/2012-6797/establishing-a-white-house-council-on-strong-cities-strong-communities
13603,National Defense Resources Preparedness,03/22/2012,03/16/2012,77 FR 16651, 2012-7019,"See: EO 11858, May 7, 1975; EO 12472, April 3, 1984; EO 12656, November 18, 1988",https://www.federalregister.gov/articles/2012/03/22/2012-7019/national-defense-resources-preparedness
13604,Improving Performance of Federal Permitting and Review of Infrastructure Projects,03/28/2012,03/22/2012,77 FR 18885, 2012-7636,"See: EO 13563, January 18, 2011; EO 13580, July 12, 2011; EO 13616, June 14, 2012",https://www.federalregister.gov/articles/2012/03/28/2012-7636/improving-performance-of-federal-permitting-and-review-of-infrastructure-projects
13605,Supporting Safe and Responsible Development of Unconventional Domestic Natural Gas Resources,04/17/2012,04/13/2012,77 FR 23105, 2012-9473,"",https://www.federalregister.gov/articles/2012/04/17/2012-9473/supporting-safe-and-responsible-development-of-unconventional-domestic-natural-gas-resources
13606,Blocking the Property and Suspending Entry Into the United States of Certain Persons With Respect to Grave Human Rights Abuses by the Governments of Iran and Syria via Information Technology,04/24/2012,04/22/2012,77 FR 24569, 2012-10034,"See: EO 12957, March 15, 1995; EO 13338, May 11, 2004",https://www.federalregister.gov/articles/2012/04/24/2012-10034/blocking-the-property-and-suspending-entry-into-the-united-states-of-certain-persons-with-respect-to
13607,"Establishing Principles of Excellence for Educational Institutions Serving Service Members, Veterans, Spouses, and Other Family Members",05/02/2012,04/27/2012,77 FR 25861, 2012-10715,"",https://www.federalregister.gov/articles/2012/05/02/2012-10715/establishing-principles-of-excellence-for-educational-institutions-serving-service-members-veterans
13608,Prohibiting Certain Transactions With and Suspending Entry Into the United States of Foreign Sanctions Evaders With Respect to Iran and Syria,05/03/2012,05/01/2012,77 FR 26407, 2012-10884,"See: EO 12938, November 4, 1994; EO 12957, March 15, 1995; EO 13224, September 23, 2001; EO 13338, May 1, 2004",https://www.federalregister.gov/articles/2012/05/03/2012-10884/prohibiting-certain-transactions-with-and-suspending-entry-into-the-united-states-of-foreign
13609,Promoting International Regulatory Cooperation,05/04/2012,05/01/2012,77 FR 26413, 2012-10968,"See: EO 12866, September 30, 1993; EO 13563, January 18, 2011",https://www.federalregister.gov/articles/2012/05/04/2012-10968/promoting-international-regulatory-cooperation
13610,Identifying and Reducing Regulatory Burdens,05/14/2012,05/10/2012,77 FR 28467, 2012-11798,"See: EO 12866, September 30, 1993; EO 13563, January 18, 2011",https://www.federalregister.gov/articles/2012/05/14/2012-11798/identifying-and-reducing-regulatory-burdens
13611,"Blocking Property of Persons Threatening the Peace, Security, or Stability of Yemen",05/18/2012,05/16/2012,77 FR 29533, 2012-12225,"",https://www.federalregister.gov/articles/2012/05/18/2012-12225/blocking-property-of-persons-threatening-the-peace-security-or-stability-of-yemen
13612,Providing an Order of Succession Within the Department of Agriculture,05/24/2012,05/21/2012,77 FR 31153, 2012-12881,"Revokes: EO 13542, May 13, 2010",https://www.federalregister.gov/articles/2012/05/24/2012-12881/providing-an-order-of-succession-within-the-department-of-agriculture
13613,Providing an Order of Succession Within the Department of Commerce,05/24/2012,05/21/2012,77 FR 31155, 2012-12882,"Revokes: EO 13242, December 18, 2001",https://www.federalregister.gov/articles/2012/05/24/2012-12882/providing-an-order-of-succession-within-the-department-of-commerce
13614,Providing an Order of Succession Within the Environmental Protection Agency,05/24/2012,05/21/2012,77 FR 31157, 2012-12883,"Revokes: EO 13261, March 19, 2002; EO 13344, July 7, 2004",https://www.federalregister.gov/articles/2012/05/24/2012-12883/providing-an-order-of-succession-within-the-environmental-protection-agency
13615,Providing an Order of Succession Within the Office of Management and Budget,05/24/2012,05/21/2012,77 FR 31159, 2012-12889,"Revokes: EO 13370, January 13, 2005",https://www.federalregister.gov/articles/2012/05/24/2012-12889/providing-an-order-of-succession-within-the-office-of-management-and-budget
13616,Accelerating Broadband Infrastructure Deployment,06/20/2012,06/14/2012,77 FR 36903, 2012-15183,"See: EO 13604, March 2, 2012",https://www.federalregister.gov/articles/2012/06/20/2012-15183/accelerating-broadband-infrastructure-deployment
13617,Blocking Property of the Government of the Russian Federation Relating to the Disposition of Highly Enriched Uranium Extracted From Nuclear Weapons,06/27/2012,06/25/2012,77 FR 38457, 2012-15954,"See: EO 12938, November 14, 1994; EO 13085, May 26, 1998; EO 13159, June 21, 2000",https://www.federalregister.gov/articles/2012/06/27/2012-15954/blocking-property-of-the-government-of-the-russian-federation-relating-to-the-disposition-of-highly
13618,Assignment of National Security and Emergency Preparedness Communications Functions,07/11/2012,07/06/2012,77 FR 40779, 2012-17022,"Revokes: EO 12472, April 3, 1984;
; ;  Amends: EO 12382, September 13, 1982;
; ;  See: EO 12333, December 4, 1981; EO 13526, December 29, 2009",https://www.federalregister.gov/articles/2012/07/11/2012-17022/assignment-of-national-security-and-emergency-preparedness-communications-functions
13619,"Blocking Property of Persons Threatening the Peace, Security, or Stability of Burma",07/13/2012,07/11/2012,77 FR 41243, 2012-17264,"Amends: EO 13448, October 18, 2007; EO 13464, April 30, 2008
; ; See: EO 13047, May 20, 1997; EO 13310, July 28, 2003; EO 13448, October 18, 2007; EO 13464, April 30, 2008
",https://www.federalregister.gov/articles/2012/07/13/2012-17264/blocking-property-of-persons-threatening-the-peace-security-or-stability-of-burma
13620,Taking Additional Steps to Address the National Emergency With Respect to Somalia,07/24/2012,07/20/2012,77 FR 43481, 2012-18237,"See: EO 13536, April 12, 2010",https://www.federalregister.gov/articles/2012/07/24/2012-18237/taking-additional-steps-to-address-the-national-emergency-with-respect-to-somalia
13621,White House Initiative on Educational Excellence for African Americans,08/01/2012,07/26/2012,77 FR 45471, 2012-18868,"Continued by: EO 13652 , September 30, 2013
; See: EO 13532, February 26, 2010",https://www.federalregister.gov/articles/2012/08/01/2012-18868/white-house-initiative-on-educational-excellence-for-african-americans
13622,Authorizing Additional Sanctions With Respect to Iran,08/02/2012,07/30/2012,77 FR 45897, 2012-19055,"Amended by: EO 13628, October 9, 2012
; ; See: EO 12957, March 15, 1995; EO 13628, October 9, 2012",https://www.federalregister.gov/articles/2012/08/02/2012-19055/authorizing-additional-sanctions-with-respect-to-iran
13623,Preventing and Responding to Violence Against Women and Girls Globally,08/16/2012,08/10/2012,77 FR 49345, 2012-20259,"",https://www.federalregister.gov/articles/2012/08/16/2012-20259/preventing-and-responding-to-violence-against-women-and-girls-globally
13624,Accelerating Investment in Industrial Energy Efficiency,09/05/2012,08/30/2012,77 FR 54777, 2012-22030,"",https://www.federalregister.gov/articles/2012/09/05/2012-22030/accelerating-investment-in-industrial-energy-efficiency
