executive_order_number,title,publication_date,signing_date,citation,document_number,executive_order_notes,html_url
13625,"Improving Access to Mental Health Services for Veterans, Service Members, and Military Families",09/05/2012,08/31/2012,77 FR 54783, 2012-22062,"",https://www.federalregister.gov/articles/2012/09/05/2012-22062/improving-access-to-mental-health-services-for-veterans-service-members-and-military-families
13626,Gulf Coast Ecosystem Restoration,09/13/2012,09/10/2012,77 FR 56749, 2012-22807,"See: EO 12777, October 18,1991; EO 13554, October 5, 2010",https://www.federalregister.gov/articles/2012/09/13/2012-22807/gulf-coast-ecosystem-restoration
13627,Strengthening Protections Against Trafficking in Persons in Federal Contracts,10/02/2012,09/25/2012,77 FR 60029, 2012-24374,"",https://www.federalregister.gov/articles/2012/10/02/2012-24374/strengthening-protections-against-trafficking-in-persons-in-federal-contracts
13628,Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Threat Reduction and Syria Human Rights Act of 2012 and Additional Sanctions With Respect to Iran,10/12/2012,10/09/2012,77 FR 62139, 2012-25236,"Amends: EO 13622, July 30, 2012
; ; See: EO 12957, March 15, 1995; EO 12959, May 6, 1995; EO 13059, August 19, 1997; EO 13599, February 5, 2012; EO 13622, July 30, 2012",https://www.federalregister.gov/articles/2012/10/12/2012-25236/authorizing-the-implementation-of-certain-sanctions-set-forth-in-the-iran-threat-reduction-and-syria
13629,Establishing the White House Homeland Security Partnership Council,11/02/2012,10/26/2012,77 FR 66351, 2012-27002,"",https://www.federalregister.gov/articles/2012/11/02/2012-27002/establishing-the-white-house-homeland-security-partnership-council
13630,Establishment of an Interagency Task Force on Commercial Advocacy,12/11/2012,12/06/2012,77 FR 73893, 2012-30060,"See: EO 13534, March 11, 2010",https://www.federalregister.gov/articles/2012/12/11/2012-30060/establishment-of-an-interagency-task-force-on-commercial-advocacy
13631,Reestablishment of Advisory Group,12/12/2012,12/07/2012,77 FR 74099, 2012-30170,"Continued by: EO 13652, September 30, 2013
; See: EO 13544, June 10, 2010; EO 13591, November 23, 2011",https://www.federalregister.gov/articles/2012/12/12/2012-30170/reestablishment-of-advisory-group
13632,Establishing the Hurricane Sandy Rebuilding Task Force,12/14/2012,12/07/2012,77 FR 74341, 2012-30310,"",https://www.federalregister.gov/articles/2012/12/14/2012-30310/establishing-the-hurricane-sandy-rebuilding-task-force
13633,"Closing of Executive Departments and Agencies of the Federal Government on Monday, December 24, 2012",12/28/2012,12/21/2012,77 FR 76339, 2012-31225,"",https://www.federalregister.gov/articles/2012/12/28/2012-31225/closing-of-executive-departments-and-agencies-of-the-federal-government-on-monday-december-24-2012
13634,Reestablishment of Advisory Commission,12/31/2012,12/21/2012,77 FR 77247, 2012-31574,"Continued by: EO 13652, September 30, 2013
; See: EO 13555, October 19, 2010",https://www.federalregister.gov/articles/2012/12/31/2012-31574/reestablishment-of-advisory-commission
13635,Adjustments of Certain Rates of Pay,01/03/2013,12/27/2012,78 FR 649, 2013-00002,"Supersedes: EO 13594, December 19, 2011
; Superseded by EO 13641, April 5, 2013",https://www.federalregister.gov/articles/2013/01/03/2013-00002/adjustments-of-certain-rates-of-pay
13636,Improving Critical Infrastructure Cybersecurity,02/19/2013,02/12/2013,78 FR 11737, 2013-03915,"See: EO 13549, August 18, 2010; EO 12866, September 30, 1993; EO 13563, January 18, 2011 EO 13609, May 1, 2012; EO 13610, May 10, 2012",https://www.federalregister.gov/articles/2013/02/19/2013-03915/improving-critical-infrastructure-cybersecurity
13637,Administration of Reformed Export Controls,03/13/2013,03/08/2013,78 FR 16127, 2013-05967,"",https://www.federalregister.gov/articles/2013/03/13/2013-05967/administration-of-reformed-export-controls
13638,Amendments to Executive Order 12777,03/21/2013,03/15/2013,78 FR 17587, 2013-06712,"",https://www.federalregister.gov/articles/2013/03/21/2013-06712/amendments-to-executive-order-12777
13639,Establishment of the Presidential Commission on Election Administration,04/03/2013,03/28/2013,78 FR 19979, 2013-07837,"",https://www.federalregister.gov/articles/2013/04/03/2013-07837/establishment-of-the-presidential-commission-on-election-administration
13640,Continuance of Advisory Council,04/10/2013,04/05/2013,78 FR 21211, 2013-08501,"Continued by: EO 13652, September 30, 2013
; See: EO 13498, February 5, 2009; EO 13569, April 5, 2011",https://www.federalregister.gov/articles/2013/04/10/2013-08501/continuance-of-advisory-council
13641,Adjustments of Certain Rates of Pay,04/11/2013,04/05/2013,78 FR 21503, 2013-08626,"Supersedes: EO 13635, December 27, 2012
; Superseded by: EO 13655, December 23, 2013",https://www.federalregister.gov/articles/2013/04/11/2013-08626/adjustments-of-certain-rates-of-pay
13642,Making Open and Machine Readable the New Default for Government Information,05/14/2013,05/09/2013,78 FR 28111, 2013-11533,"",https://www.federalregister.gov/articles/2013/05/14/2013-11533/making-open-and-machine-readable-the-new-default-for-government-information
13643,"2013 Amendments to the Manual for Courts-Martial, United States",05/21/2013,05/15/2013,78 FR 29559, 2013-12157,"",https://www.federalregister.gov/articles/2013/05/21/2013-12157/2013-amendments-to-the-manual-for-courts-martial-united-states
13644,Amendment to Executive Order 13639,05/24/2013,05/21/2013,78 FR 31813, 2013-12650,"",https://www.federalregister.gov/articles/2013/05/24/2013-12650/amendment-to-executive-order-13639
13645,Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Freedom and Counter- Proliferation Act of 2012 and Additional Sanctions With Respect To Iran,06/05/2013,06/03/2013,78 FR 33945, 2013-13523,"",https://www.federalregister.gov/articles/2013/06/05/2013-13523/authorizing-the-implementation-of-certain-sanctions-set-forth-in-the-iran-freedom-and-counter-
13646,Establishing the President's Advisory Council on Financial Capability for Young Americans,06/28/2013,06/25/2013,78 FR 39157, 2013-15782,"",https://www.federalregister.gov/articles/2013/06/28/2013-15782/establishing-the-presidents-advisory-council-on-financial-capability-for-young-americans
13647,Establishing the White House Council on Native American Affairs,07/01/2013,06/26/2013,78 FR 39539, 2013-15942,"",https://www.federalregister.gov/articles/2013/07/01/2013-15942/establishing-the-white-house-council-on-native-american-affairs
13648,Combating Wildlife Trafficking,07/05/2013,07/01/2013,78 FR 40619, 2013-16387,"",https://www.federalregister.gov/articles/2013/07/05/2013-16387/combating-wildlife-trafficking
13649,Accelerating Improvements in HIV Prevention and Care in the United States Through the HIV Care Continuum Initiative,07/18/2013,07/15/2013,78 FR 43055, 2013-17478,"",https://www.federalregister.gov/articles/2013/07/18/2013-17478/accelerating-improvements-in-hiv-prevention-and-care-in-the-united-states-through-the-hiv-care
13650,Improving Chemical Facility Safety and Security,08/07/2013,08/01/2013,78 FR 48029, 2013-19220,"",https://www.federalregister.gov/articles/2013/08/07/2013-19220/improving-chemical-facility-safety-and-security
13651,Prohibiting Certain Imports of Burmese Jadeite and Rubies,08/09/2013,08/06/2013,78 FR 48791, 2013-19520,"",https://www.federalregister.gov/articles/2013/08/09/2013-19520/prohibiting-certain-imports-of-burmese-jadeite-and-rubies
13652,Continuance Of Certain Federal Advisory Committees,10/04/2013,09/30/2013,78 FR 61817, 2013-24388,"Amends: EO 13043, April 16, 1997; EO 13231, October 16, 2001; EO 13515, October 14, 2009; EO 13538, April 19, 2010; EO 13600, February 9, 2012
; Supersedes in part: EO 13585, September 30, 2011; EO 13591, November 23, 2011
; Continues: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 11612, July 26, 1971; EO 12131, May 4, 1979; EO 12216, June 19, 1980; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12829, January 6, 1993; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13231, October 16, 2001; EO 13265, June 6, 2002; EO 13515, October 14, 2009; EO 13521, November 24, 2009; EO 13522, December 9, 2009; EO 13532, February 26, 2010; EO 13538, April 19, 2010; EO 13539, April 21, 2010; EO 13540, April 26, 2010; EO 13549, August 18, 2010; EO 13600, February 9, 2012; EO 13621, July 26, 2012; EO 13631, December 7, 2012; EO 13634, December 21, 2012; EO 13640, January 5, 2013
; ee: EO 13498, February 5, 2009; EO 13544, June 10, 2010; EO 13555, October 19, 2010",https://www.federalregister.gov/articles/2013/10/04/2013-24388/continuance-of-certain-federal-advisory-committees
13653,Preparing the United States for the Impacts of Climate Change,11/06/2013,11/01/2013,78 FR 66817, 2013-26785,"See:   EO 13677, September 23, 2014; EO 13683, December 11, 2014",https://www.federalregister.gov/articles/2013/11/06/2013-26785/preparing-the-united-states-for-the-impacts-of-climate-change
13654,Establishing an Emergency Board To Investigate Disputes Between the Long Island Rail Road Company and Certain of Its Employees Represented by Certain Labor Organizations,11/26/2013,11/21/2013,78 FR 70843, 2013-28581,"See: EO 13663, March 20, 2014",https://www.federalregister.gov/articles/2013/11/26/2013-28581/establishing-an-emergency-board-to-investigate-disputes-between-the-long-island-rail-road-company
13655,Adjustments of Certain Rates of Pay,12/31/2013,12/23/2013,78 FR 80451, 2013-31445,"Supersedes: EO 13641, April 5, 2013; EO 13686, December 19, 2014",https://www.federalregister.gov/articles/2013/12/31/2013-31445/adjustments-of-certain-rates-of-pay
13656,Establishment of Afghanistan and Pakistan Strategic Partnership Office and Amendment to Executive Order 12163,01/24/2014,01/17/2014,79 FR 4261, 2014-01523,"Amends: EO 12163, September 29, 1979",https://www.federalregister.gov/articles/2014/01/24/2014-01523/establishment-of-afghanistan-and-pakistan-strategic-partnership-office-and-amendment-to-executive
13657,Changing the Name of the National Security Staff to the National Security Council Staff,02/14/2014,02/10/2014,79 FR 8823, 2014-03474,"",https://www.federalregister.gov/articles/2014/02/14/2014-03474/changing-the-name-of-the-national-security-staff-to-the-national-security-council-staff
13658,Establishing a Minimum Wage for Contractors,02/20/2014,02/12/2014,79 FR 9849, 2014-03805,"See:   EO 13673, July 31, 2014",https://www.federalregister.gov/articles/2014/02/20/2014-03805/establishing-a-minimum-wage-for-contractors
13659,Streamlining the Export/Import Process for America's Businesses,02/25/2014,02/19/2014,79 FR 10655, 2014-04254,"",https://www.federalregister.gov/articles/2014/02/25/2014-04254/streamlining-the-exportimport-process-for-americas-businesses
13660,Blocking Property of Certain Persons Contributing to the Situation in Ukraine,03/10/2014,03/06/2014,79 FR 13491, 2014-05323,"See: EO 13661, March 16, 2014; EO 13662, March 20, 2014; EO 13685, December 19, 2014 ",https://www.federalregister.gov/articles/2014/03/10/2014-05323/blocking-property-of-certain-persons-contributing-to-the-situation-in-ukraine
13661,Blocking Property of Additional Persons Contributing to the Situation in Ukraine,03/19/2014,03/16/2014,79 FR 15533, 2014-06141,"See: EO 13660, March 6, 2014; EO 13662, March 20, 2014; EO 13685, December 19, 2014",https://www.federalregister.gov/articles/2014/03/19/2014-06141/blocking-property-of-additional-persons-contributing-to-the-situation-in-ukraine
13662,Blocking Property of Additional Persons Contributing to the Situation in Ukraine,03/24/2014,03/20/2014,79 FR 16167, 2014-06612,"See: EO 13660, March 6, 2014; EO 13661, March 16, 2014; EO 13685, December 19, 2014",https://www.federalregister.gov/articles/2014/03/24/2014-06612/blocking-property-of-additional-persons-contributing-to-the-situation-in-ukraine
13663,Establishing an Emergency Board to Investigate Disputes Between the Long Island Rail Road Company and Certain of Its Employees Represented by Certain Labor Organizations,03/25/2014,03/20/2014,79 FR 16645, 2014-06768,"See: EO 13654, November 21, 2013",https://www.federalregister.gov/articles/2014/03/25/2014-06768/establishing-an-emergency-board-to-investigate-disputes-between-the-long-island-rail-road-company
13664,Blocking Property of Certain Persons With Respect to South Sudan,04/07/2014,04/03/2014,79 FR 19281, 2014-07895,"",https://www.federalregister.gov/articles/2014/04/07/2014-07895/blocking-property-of-certain-persons-with-respect-to-south-sudan
13665,Non-Retaliation for Disclosure of Compensation Information,04/11/2014,04/08/2014,79 FR 20749, 2014-08426,"",https://www.federalregister.gov/articles/2014/04/11/2014-08426/non-retaliation-for-disclosure-of-compensation-information
13666,Expanding Eligibility for the Defense Meritorious Service Medal,04/23/2014,04/18/2014,79 FR 22591, 2014-09343,"",https://www.federalregister.gov/articles/2014/04/23/2014-09343/expanding-eligibility-for-the-defense-meritorious-service-medal
13667,Blocking Property of Certain Persons Contributing to the Conflict in the Central African Republic,05/15/2014,05/12/2014,79 FR 28385, 2014-11442,"",https://www.federalregister.gov/articles/2014/05/15/2014-11442/blocking-property-of-certain-persons-contributing-to-the-conflict-in-the-central-african-republic
13668,"Ending Immunities Granted to the Development Fund for Iraq and Certain Other Iraqi Property and Interests in Property Pursuant to Executive Order 13303, as Amended",05/29/2014,05/27/2014,79 FR 31019, 2014-12651,"See: EO 13303, May 22, 2003; EO 13364, November 29, 2004; EO 13315, August 28, 2003",https://www.federalregister.gov/articles/2014/05/29/2014-12651/ending-immunities-granted-to-the-development-fund-for-iraq-and-certain-other-iraqi-property-and
13669,"2014 Amendments to the Manual for Courts-Martial, United States",06/18/2014,06/13/2014,79 FR 34999, 2014-14429,"Amends: EO 12473, April 13, 1984",https://www.federalregister.gov/articles/2014/06/18/2014-14429/2014-amendments-to-the-manual-for-courts-martial-united-states
13670,Establishing an Emergency Board To Investigate Disputes Between the Southeastern Pennsylvania Transportation Authority and Certain of Its Employees Represented by Certain Labor Organizations,06/18/2014,06/14/2014,79 FR 35029, 2014-14432,"",https://www.federalregister.gov/articles/2014/06/18/2014-14432/establishing-an-emergency-board-to-investigate-disputes-between-the-southeastern-pennsylvania
13671,Taking Additional Steps to Address the National Emergency With Respect to the Conflict in the Democratic Republic of the Congo,07/10/2014,07/08/2014,79 FR 39947, 2014-16360,"Amends: EO 13413, October 27, 2006",https://www.federalregister.gov/articles/2014/07/10/2014-16360/taking-additional-steps-to-address-the-national-emergency-with-respect-to-the-conflict-in-the
13672,"Further Amendments to Executive Order 11478, Equal Employment Opportunity in the Federal Government, and Executive Order 11246, Equal Employment Opportunity",07/23/2014,07/21/2014,79 FR 42971, 2014-17522,"Amends: EO 11246, September 24, 1965; EO 11478, August 8, 1969",https://www.federalregister.gov/articles/2014/07/23/2014-17522/further-amendments-to-executive-order-11478-equal-employment-opportunity-in-the-federal-government
13673,Fair Pay and Safe Workplaces,08/05/2014,07/31/2014,79 FR 45309, 2014-18561,"See: EO 11246, September 24, 1965; EO 13658, February 12, 2014; EO 13683, December 11, 2014 ",https://www.federalregister.gov/articles/2014/08/05/2014-18561/fair-pay-and-safe-workplaces
13674,Revised List of Quarantinable Communicable Diseases,08/06/2014,07/31/2014,79 FR 45671, 2014-18682,"",https://www.federalregister.gov/articles/2014/08/06/2014-18682/revised-list-of-quarantinable-communicable-diseases
13675,Establishing the President's Advisory Council on Doing Business in Africa,08/08/2014,08/05/2014,79 FR 46659, 2014-18998,"",https://www.federalregister.gov/articles/2014/08/08/2014-18998/establishing-the-presidents-advisory-council-on-doing-business-in-africa
13676,Combating Antibiotic-Resistant Bacteria,09/23/2014,09/18/2014,79 FR 56931, 2014-22805,"",https://www.federalregister.gov/articles/2014/09/23/2014-22805/combating-antibiotic-resistant-bacteria
13677,Climate-Resilient International Development,09/26/2014,09/23/2014,79 FR 58229, 2014-23228,"See: EO 13514, October 5, 2009; EO 13653, November 1, 2013",https://www.federalregister.gov/articles/2014/09/26/2014-23228/climate-resilient-international-development
13678,"Conversion Authority for Criminal Investigators (Special Agents) of the Bureau of Alcohol, Tobacco, Firearms, and Explosives",10/08/2014,10/03/2014,79 FR 60949, 2014-24218,"",https://www.federalregister.gov/articles/2014/10/08/2014-24218/conversion-authority-for-criminal-investigators-special-agents-of-the-bureau-of-alcohol-tobacco
13679,Establishing an Emergency Board To Investigate a Dispute Between the Southeastern Pennsylvania Transportation Authority and Its Locomotive Engineers Represented by the Brotherhood of Locomotive Engineers and Trainmen,10/17/2014,10/10/2014,79 FR 62323, 2014-24851," EO 13679, October 10, 2014",https://www.federalregister.gov/articles/2014/10/17/2014-24851/establishing-an-emergency-board-to-investigate-a-dispute-between-the-southeastern-pennsylvania
13680,Ordering the Selected Reserve and Certain Individual Ready Reserve Members of the Armed Forces to Active Duty,10/23/2014,10/16/2014,79 FR 63287, 2014-25292,"",https://www.federalregister.gov/articles/2014/10/23/2014-25292/ordering-the-selected-reserve-and-certain-individual-ready-reserve-members-of-the-armed-forces-to
13681,Improving the Security of Consumer Financial Transactions,10/23/2014,10/17/2014,79 FR 63489, 2014-25439,"",https://www.federalregister.gov/articles/2014/10/23/2014-25439/improving-the-security-of-consumer-financial-transactions
13682,"Closing of Executive Departments and Agencies of the Federal Government on Friday, December 26, 2014",12/10/2014,12/05/2014,79 FR 73457, 2014-29121,"",https://www.federalregister.gov/articles/2014/12/10/2014-29121/closing-of-executive-departments-and-agencies-of-the-federal-government-on-friday-december-26-2014
13683,"Amendments to Executive Orders 11030, 13653, and 13673",12/16/2014,12/11/2014,79 FR 75039, 2014-29625,"Amends: EO 11030, June 19, 1962; EO 13653, November 1, 2013; EO 13673, July 31, 2014
; See: EO 13653, November 1, 2013",https://www.federalregister.gov/articles/2014/12/16/2014-29625/amendments-to-executive-orders-11030-13653-and-13673
13684,Establishment of the President's Task Force on 21st Century Policing,12/23/2014,12/18/2014,79 FR 76865, 2014-30195,"",https://www.federalregister.gov/articles/2014/12/23/2014-30195/establishment-of-the-presidents-task-force-on-21st-century-policing
13685,Blocking Property of Certain Persons and Prohibiting Certain Transactions With Respect to the Crimea Region of Ukraine,12/24/2014,12/19/2014,79 FR 77357, 2014-30323,"See: EO 13660, March 6, 2014; EO 13661, March 16, 2014; EO 13662, March 20, 2014",https://www.federalregister.gov/articles/2014/12/24/2014-30323/blocking-property-of-certain-persons-and-prohibiting-certain-transactions-with-respect-to-the-crimea
13686,Adjustments of Certain Rates of Pay,12/24/2014,12/19/2014,79 FR 77361, 2014-30363,"Supersedes: EO 13655, December 23, 2013",https://www.federalregister.gov/articles/2014/12/24/2014-30363/adjustments-of-certain-rates-of-pay
13687,Imposing Additional Sanctions With Respect To North Korea,01/06/2015,01/02/2015,80 FR 817, 2015-00058,"",https://www.federalregister.gov/articles/2015/01/06/2015-00058/imposing-additional-sanctions-with-respect-to-north-korea
13688,Federal Support for Local Law Enforcement Equipment Acquisition,01/22/2015,01/16/2015,80 FR 3451, 2015-01255,"",https://www.federalregister.gov/articles/2015/01/22/2015-01255/federal-support-for-local-law-enforcement-equipment-acquisition
13689,Enhancing Coordination of National Efforts in the Arctic,01/26/2015,01/21/2015,80 FR 4189, 2015-01522,"",https://www.federalregister.gov/articles/2015/01/26/2015-01522/enhancing-coordination-of-national-efforts-in-the-arctic
13690,Establishing a Federal Flood Risk Management Standard and a Process for Further Soliciting and Considering Stakeholder Input,02/04/2015,01/30/2015,80 FR 6425, 2015-02379,"",https://www.federalregister.gov/articles/2015/02/04/2015-02379/establishing-a-federal-flood-risk-management-standard-and-a-process-for-further-soliciting-and
13691,Promoting Private Sector Cybersecurity Information Sharing,02/20/2015,02/13/2015,80 FR 9347, 2015-03714,"",https://www.federalregister.gov/articles/2015/02/20/2015-03714/promoting-private-sector-cybersecurity-information-sharing
13692,Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Venezuela,03/11/2015,03/08/2015,80 FR 12747, 2015-05677,"",https://www.federalregister.gov/articles/2015/03/11/2015-05677/blocking-property-and-suspending-entry-of-certain-persons-contributing-to-the-situation-in-venezuela
13693,Planning for Federal Sustainability in the Next Decade,03/25/2015,03/19/2015,80 FR 15869, 2015-07016,"",https://www.federalregister.gov/articles/2015/03/25/2015-07016/planning-for-federal-sustainability-in-the-next-decade
13694,Blocking the Property of Certain Persons Engaging in Significant Malicious Cyber-Enabled Activities,04/02/2015,04/01/2015,80 FR 18077, 2015-07788,"",https://www.federalregister.gov/articles/2015/04/02/2015-07788/blocking-the-property-of-certain-persons-engaging-in-significant-malicious-cyber-enabled-activities
15323,"Half-Day Closing of Executive Departments and Agencies on Thursday, December 24, 2009",12/16/2009,12/11/2009,74 FR 66563, E9-30020,"Federal Register correction page and date: 74 FR 67049, December 18, 2009",https://www.federalregister.gov/articles/2009/12/16/E9-30020/half-day-closing-of-executive-departments-and-agencies-on-thursday-december-24-2009
